year,month,rainfall
2004,11,16.144285575353674
2004,12,0
2005,1,5.105263100250771
2005,2,2.4368421486333793
2005,3,26.05263143268071
2005,4,105.73684150333467
2005,5,120.0263158522154
2005,6,183.76315831941992
2005,7,163.4842102653102
2005,8,168.01052700845815
2005,9,353.9052639470289
2005,10,104.59473678665725
2005,11,62.189473722326134
2005,12,14.747368560417703
2006,1,1.0428571472210544
2006,2,14.752500058351352
2006,3,41.486785342185094
2006,4,113.70714323794734
2006,5,242.62928623998812
2006,6,192.94357115482643
2006,7,173.104642710715
2006,8,236.97964328321228
2006,9,273.01035608158315
2006,10,156.70642793803873
2006,11,8.990714404998078
2006,12,1.118928577684398
2007,1,2.1000000473910143
2007,2,3.244285693392157
2007,3,11.521785694240993
2007,4,91.82392863902662
2007,5,286.851072274215
